video_id,country,category,days_trending,best_rank,peak_views,peak_likes
--2bBYK_TVA,IN,Other,1,49,266398,1159
--OFJWkdJOI,GB,Music,1,28,487526,13108
--OFJWkdJOI,IN,Music,3,25,1501722,25635
-0v4hel0ZRc,IN,Other,1,39,79272,172
-1_YSVdX6os,IN,Music,1,38,130676,0
-2AgR2HxuBQ,GB,Movie/TV Trailer,1,22,65901,1657
-2E3iZRRyj8,GB,Gaming,1,39,206897,10013
-2o6QwJcvUU,GB,Other,1,21,14314,627
-3F5y4ie8Es,IN,Gaming,1,32,160974,2626
-4Jd2wiGJKA,US,Music,2,38,224668,19488
-4_m1Zn3zTg,GB,Sports,1,43,218938,4100
-5EOZO_1GdI,IN,Music,2,40,225617,519
-5OvnO5ZkiY,IN,Gaming,1,42,281255,3600
-5_Ejqi2wwo,IN,Movie/TV Trailer,2,19,472034,24185
-7Hv5fR7KX0,US,Sports,1,49,0,0
-7zrxWeB2sQ,GB,Music,1,31,11479,526
-8JSKIEGYyo,GB,Movie/TV Trailer,1,41,130658,16206
-8gHn4_qpY8,GB,Reaction,1,38,38549,4267
-8gHn4_qpY8,US,Reaction,1,25,40143,4363
-ApRU1hUPfk,GB,Gaming,1,48,144626,8500
-AxmoG_z4Fw,IN,Gaming,1,44,447457,6145
-BXQA-r2eCA,GB,Other,1,28,282778,2546
-BXQA-r2eCA,US,Other,2,22,284343,2556
-BuqhOVo4ow,GB,Music,1,46,81005,228
-CepAYN0WyM,GB,Music,3,4,3504670,227387
-CepAYN0WyM,US,Music,3,1,3520887,228019
-CfophY8CXE,GB,Gaming,1,32,201543,3894
-CpFYSL2gi8,GB,Gaming,1,36,88412,7189
-CpFYSL2gi8,US,Gaming,1,36,97640,7347
-E2x80YumMI,US,Other,2,17,100246,5733
-EAw4le65aw,GB,Other,2,31,205005,8848
-GKwwbwee3E,US,Sports,1,20,0,0
-GLJFWNLPmA,IN,Gaming,2,12,813932,12497
-H1z1Dh4RUI,GB,Other,1,41,768476,25791
-H1z1Dh4RUI,US,Other,1,38,785655,26081
-HHndxGApbg,IN,Gaming,3,21,1180692,31551
-HY0lhbi_98,IN,Other,1,44,186700,1052
-HjNTjsbdS0,GB,Other,2,1,66150,4794
-I2-X9v-ogs,GB,Movie/TV Trailer,1,50,77164,2900
-IBvImeS5I8,GB,Music,2,4,25987,1747
-J0_2eMtFQM,US,Movie/TV Trailer,2,29,441279,27756
-Ja5KJcQ-Lc,IN,Movie/TV Trailer,2,14,215658,9621
-JjYVQ4kcHk,US,Other,2,13,575670,897
-KO5r4d_J3g,GB,Movie/TV Trailer,2,5,178662,4985
-KO5r4d_J3g,US,Movie/TV Trailer,2,5,179636,5010
-KZk8SHbMwA,US,Other,1,28,284349,765
-KdvidY4iYs,US,Music,2,16,205721,12263
-LgR6TxHLzU,GB,Other,1,13,302091,34497
-Lzmq6rm23c,IN,Music,1,25,750200,9987
-MTKBxUbKhw,GB,Other,1,15,354608,5505
-MTKBxUbKhw,IE,Other,1,42,355944,5525
-MTKBxUbKhw,US,Other,1,44,367228,5607
-MwIxRzXIpQ,US,Other,1,43,0,0
-NSEoxrM3y0,IN,Other,1,28,39562,496
-RCnK3-v3UM,US,Music,1,49,190476,928
-SEKt_0pdHM,GB,Other,2,10,1567355,168287
-SEKt_0pdHM,US,Other,1,10,1113849,140797
-ShK9mZtMbI,GB,Music,1,49,78542,6429
-ShK9mZtMbI,US,Music,2,7,150718,9792
-TTV__STZ_U,US,Other,1,23,154974,4983
-TWYj6sw2NQ,GB,Movie/TV Trailer,1,2,469903,43497
-TWYj6sw2NQ,IE,Movie/TV Trailer,4,32,625846,48568
