title,channel_name,days_trending,category
LE SSERAFIM (르세라핌) x ILLIT (아일릿) x KATSEYE (캣츠아이) 'ICONIC BY MISTAKE' Official MV,HYBE LABELS,36,Other
KANYE WEST - SILVER NIGHT  | СЕДАЯ НОЧЬ (GANG REMIX),Davuiside,35,Other
Kingfishr - The Sun Will Never Settle (Official Lyric Video),Kingfishr,33,Other
Florin Cercel ❌️ Antonia Cercel - Doar pentru tine Amore [Official Video] 2026,FLORIN CERCEL,32,Music
Olivia Rodrigo - stupid song (Official Music Video),OliviaRodrigoVEVO,31,Music
IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,30,Music
Olivia Rodrigo - When A Good Man Cries (CMAT cover) in the Live Lounge,BBCRadio1VEVO,29,Other
SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),Sony Pictures Entertainment,28,Movie/TV Trailer
GENER8ION - STORM starring Yung Lean,GENER8ION,25,Other
Ariana Grande - hate that i made you love me (official music video),ArianaGrandeVevo,25,Music
